Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Leds_IR_Remote,1,Battery,
"BTN1, BTN2, BTN3",SW_Push_1P1T_NO_6x6mm_H9.5mm,3,~,
"C1, C2, C3",0805,3,0.1uF,
"C4, C5",0805,2,10uF,
"D1, D2",0805,2,LED,
ESP1,ESP32_supermini,1,~,
LDO1,SOT-23-5_HandSoldering,1,~,
"LED1, LED2, LED3",Leds_IR_Remote,3,~,
"MOSFET1, MOSFET2",SOT-23,2,AO3414A,
"NEO1, NEO2, NEO3",LED_WS2812B_2.0x2.0mm,3,~,
"R1, R2, R3",0805,3,150,
"R10, R15, R4, R5, R8",0805,5,1K,
"R11, R9",0805,2,100K,
"R12, R13, R14, R16, R17, R6, R7",0805,7,47K,
R18,0805,1,1K5,
R19,0805,1,0,
"SW1, SW2",SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,2,SW_DIP_x02,
SW3,SW_SPDT_PCM12,1,SW_DPDT_x2,
TP4056,SOP-8_3.9x4.9mm_P1.27mm,1,~,
